[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/FontAwesome.otf
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/migration/mapping.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/slideInUp.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-in.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/shake.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/tada.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bob.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.min.css
